entity_type;bundle;deleted;entity_id;revision_id;language;delta;field_parcours_professionnel_for_value;field_parcours_professionnel_for_format
node;imprimeur_lithographe;0;10316;10316;und;0;instituteur;plain_text
node;imprimeur_lithographe;0;10319;10319;und;0;Taille-doucier;plain_text
node;imprimeur_lithographe;0;10320;10320;und;0;lithographe;plain_text
node;imprimeur_lithographe;0;10322;10322;und;0;papetier;plain_text
node;imprimeur_lithographe;0;10323;10323;und;0;artiste peintre;plain_text
node;imprimeur_lithographe;0;10325;10325;und;0;Ecrivain lithographe;plain_text
node;imprimeur_lithographe;0;10326;10326;und;0;employé du ministère;plain_text
node;imprimeur_lithographe;0;10327;10327;und;0;employé;plain_text
node;imprimeur_lithographe;0;10328;10328;und;0;commis - teneur de livres;plain_text
node;imprimeur_lithographe;0;10329;10329;und;0;ouvrier lithographe;plain_text
node;imprimeur_lithographe;0;10330;10330;und;0;ouvrier lithographe;plain_text
node;imprimeur_lithographe;0;10331;10331;und;0;ouvrier lithographe ;plain_text
node;imprimeur_lithographe;0;10332;10332;und;0;Ecrivain dessinateur;plain_text
node;imprimeur_lithographe;0;10333;10333;und;0;avocat;plain_text
node;imprimeur_lithographe;0;10336;10336;und;0;artiste;plain_text
node;imprimeur_lithographe;0;10337;10337;und;0;contre-maître;plain_text
node;imprimeur_lithographe;0;10338;10338;und;0;commis-voyageur en librairie;plain_text
node;imprimeur_lithographe;0;10339;10339;und;0;ouvrier lithographe;plain_text
node;imprimeur_lithographe;0;10340;10340;und;0;écrivain lithographe;plain_text
node;imprimeur_lithographe;0;10343;10343;und;0;dessinateur lithographe;plain_text
node;imprimeur_lithographe;0;10344;10344;und;0;ouvrier;plain_text
node;imprimeur_lithographe;0;10345;10345;und;0;peintre;plain_text
node;imprimeur_lithographe;0;10346;10346;und;0;Marchand papetier;plain_text
node;imprimeur_lithographe;0;10348;10348;und;0;clerc d'huissier;plain_text
node;imprimeur_lithographe;0;10349;10349;und;0;papetier;plain_text
node;imprimeur_lithographe;0;10350;10350;und;0;ouvrier lithographe;plain_text
node;imprimeur_lithographe;0;10351;10351;und;0;ouvrier lithographe;plain_text
node;imprimeur_lithographe;0;10352;10352;und;0;employé lithographe;plain_text
node;imprimeur_lithographe;0;10353;10353;und;0;ouvrier lithographe;plain_text
node;imprimeur_lithographe;0;10354;10354;und;0;papetier;plain_text
node;imprimeur_lithographe;0;10360;10360;und;0;fabricant d'abats-jour;plain_text
node;imprimeur_lithographe;0;10361;10361;und;0;ouvrier lithographe;plain_text
node;imprimeur_lithographe;0;10362;10362;und;0;apprêteur d'étoffes;plain_text
node;imprimeur_lithographe;0;10363;10363;und;0;inspecteur des postes;plain_text
node;imprimeur_lithographe;0;10365;10365;und;0;prote;plain_text
node;imprimeur_lithographe;0;10366;10366;und;0;fabricant de cuirs vernis;plain_text
node;imprimeur_lithographe;0;10367;10367;und;0;ouvrier lithographe;plain_text
node;imprimeur_lithographe;0;10368;10368;und;0;ouvrier lithographe;plain_text
node;imprimeur_lithographe;0;10369;10369;und;0;Elève au Collège Ste Barbe;plain_text
node;imprimeur_lithographe;0;10370;10370;und;0;ouvrier lithographe;plain_text
node;imprimeur_lithographe;0;10371;10371;und;0;ouvrier lithographe;plain_text
node;imprimeur_lithographe;0;10373;10373;und;0;ouvrier lithographe;plain_text
node;imprimeur_lithographe;0;10374;10374;und;0;papetier;plain_text
node;imprimeur_lithographe;0;10375;10375;und;0;imprimeur en lettres et libraire;plain_text
node;imprimeur_lithographe;0;10377;10377;und;0;ouvrier lithographe;plain_text
node;imprimeur_lithographe;0;10378;10378;und;0;Taille-doucier;plain_text
node;imprimeur_lithographe;0;10380;10380;und;0;apprenti lithographe;plain_text
node;imprimeur_lithographe;0;10382;10382;und;0;professeur ès sciences;plain_text
node;imprimeur_lithographe;0;10383;10383;und;0;dessinateur;plain_text
node;imprimeur_lithographe;0;10384;10384;und;0;prote / Dessinateur lithographe;plain_text
node;imprimeur_lithographe;0;10386;10386;und;0;peintre;plain_text
node;imprimeur_lithographe;0;10387;10387;und;0;fabricant de papiers peints;plain_text
node;imprimeur_lithographe;0;10390;10390;und;0;Ex-lithographe à Marseille;plain_text
node;imprimeur_lithographe;0;10391;10391;und;0;dessinateur sur pierres;plain_text
node;imprimeur_lithographe;0;10392;10392;und;0;ouvrier lithographe;plain_text
node;imprimeur_lithographe;0;10396;10396;und;0;ouvrier lithographe;plain_text
node;imprimeur_lithographe;0;10398;10398;und;0;papetier;plain_text
node;imprimeur_lithographe;0;10399;10399;und;0;Papetier;plain_text
node;imprimeur_lithographe;0;10400;10400;und;0;employé;plain_text
node;imprimeur_lithographe;0;10402;10402;und;0;ouvrier lithographe;plain_text
node;imprimeur_lithographe;0;10403;10403;und;0;ouvrier lithographe;plain_text
node;imprimeur_lithographe;0;10404;10404;und;0;ouvrier lithographe;plain_text
node;imprimeur_lithographe;0;10405;10405;und;0;graveur;plain_text
node;imprimeur_lithographe;0;10406;10406;und;0;enlumineur de cartes géographiques;plain_text
node;imprimeur_lithographe;0;10407;10407;und;0;ouvrier lithographe;plain_text
node;imprimeur_lithographe;0;10408;10408;und;0;directeur de l'Administration du journal Le Plan;plain_text
