entity_type;bundle;deleted;entity_id;revision_id;language;delta;field_lieu_de_naissance_value;field_lieu_de_naissance_format
node;imprimeur_lithographe;0;10434;10434;und;0;Paris;plain_text
node;imprimeur_lithographe;0;10435;10435;und;0; - ;plain_text
node;imprimeur_lithographe;0;10437;10437;und;0;Tréti (Bouches du Rhône);plain_text
node;imprimeur_lithographe;0;10439;10439;und;0;Orléans;plain_text
node;imprimeur_lithographe;0;10440;10440;und;0;Lyon;plain_text
node;imprimeur_lithographe;0;10441;10441;und;0;Wailly (Pas de Calais);plain_text
node;imprimeur_lithographe;0;10442;10442;und;0;Les Noës (Loire);plain_text
node;imprimeur_lithographe;0;10443;10443;und;0;Bordeaux - ;plain_text
node;imprimeur_lithographe;0;10444;10444;und;0;Bonneville (Somme);plain_text
node;imprimeur_lithographe;0;10446;10446;und;0;Amiens;plain_text
node;imprimeur_lithographe;0;10448;10448;und;0;Paris;plain_text
node;imprimeur_lithographe;0;10449;10449;und;0;Sedan;plain_text
node;imprimeur_lithographe;0;10451;10451;und;0;Belleville;plain_text
node;imprimeur_lithographe;0;10455;10455;und;0;Meudon;plain_text
node;imprimeur_lithographe;0;10456;10456;und;0;Roanne (Loire);plain_text
node;imprimeur_lithographe;0;10457;10457;und;0;Paris;plain_text
node;imprimeur_lithographe;0;10458;10458;und;0; - ;plain_text
node;imprimeur_lithographe;0;10459;10459;und;0;Paris;plain_text
node;imprimeur_lithographe;0;10460;10460;und;0;Nantes;plain_text
node;imprimeur_lithographe;0;10461;10461;und;0;Lavelanec (Ariège);plain_text
node;imprimeur_lithographe;0;10462;10462;und;0;Strasbourg;plain_text
node;imprimeur_lithographe;0;10463;10463;und;0;Samois;plain_text
node;imprimeur_lithographe;0;10464;10464;und;0; ;plain_text
node;imprimeur_lithographe;0;10465;10465;und;0;Clairville (Calvados);plain_text
node;imprimeur_lithographe;0;10467;10467;und;0;Laval;plain_text
node;imprimeur_lithographe;0;10468;10468;und;0;Toulouse;plain_text
node;imprimeur_lithographe;0;10469;10469;und;0;St Marc sur Coisnon (ille et Villaine);plain_text
node;imprimeur_lithographe;0;10471;10471;und;0;Liancourt;plain_text
node;imprimeur_lithographe;0;10472;10472;und;0;Villiers - ;plain_text
node;imprimeur_lithographe;0;10473;10473;und;0;St Briepour (Auxerre);plain_text
node;imprimeur_lithographe;0;10474;10474;und;0;Auxerre;plain_text
node;imprimeur_lithographe;0;10475;10475;und;0;Troyes;plain_text
node;imprimeur_lithographe;0;10476;10476;und;0;Corbie;plain_text
node;imprimeur_lithographe;0;10477;10477;und;0;Ribérous;plain_text
node;imprimeur_lithographe;0;10478;10478;und;0;Lourmarin (Vaucluse);plain_text
node;imprimeur_lithographe;0;10479;10479;und;0;Marseille;plain_text
node;imprimeur_lithographe;0;10480;10480;und;0;Guise (Aisne);plain_text
node;imprimeur_lithographe;0;10482;10482;und;0;Nancy;plain_text
node;imprimeur_lithographe;0;10483;10483;und;0;Bourmont - ;plain_text
node;imprimeur_lithographe;0;10485;10485;und;0;Marseille;plain_text
node;imprimeur_lithographe;0;10487;10487;und;0;Limoges;plain_text
node;imprimeur_lithographe;0;10488;10488;und;0; - ;plain_text
node;imprimeur_lithographe;0;10489;10489;und;0;Paris;plain_text
node;imprimeur_lithographe;0;10491;10491;und;0;Angers;plain_text
node;imprimeur_lithographe;0;10494;10494;und;0;St Sever (Landes);plain_text
node;imprimeur_lithographe;0;10496;10496;und;0;Manchecourt (Loiret);plain_text
node;imprimeur_lithographe;0;10497;10497;und;0;Château-Thierry (Aisne);plain_text
node;imprimeur_lithographe;0;10498;10498;und;0;Châteaudun (Eure et Loir);plain_text
node;imprimeur_lithographe;0;10499;10499;und;0;Sarthe;plain_text
node;imprimeur_lithographe;0;10500;10500;und;0;Sedan;plain_text
node;imprimeur_lithographe;0;10501;10501;und;0;Florence;plain_text
node;imprimeur_lithographe;0;10502;10502;und;0;Paris;plain_text
node;imprimeur_lithographe;0;10503;10503;und;0;Bourgon;plain_text
node;imprimeur_lithographe;0;10504;10504;und;0;Paris;plain_text
node;imprimeur_lithographe;0;10505;10505;und;0;Grivesnes (Somme);plain_text
node;imprimeur_lithographe;0;10506;10506;und;0;St Arnoult (Loir et Cher);plain_text
node;imprimeur_lithographe;0;10507;10507;und;0; - ;plain_text
