entity_type;bundle;deleted;entity_id;revision_id;language;delta;field_date_de_naissance_value
node;imprimeur_lithographe;0;22613;22613;und;0;1807-11-19 00:00:00
node;imprimeur_lithographe;0;22614;22614;und;0;1811-04-11 00:00:00
node;imprimeur_lithographe;0;22615;22615;und;0;1796-10-03 00:00:00
node;imprimeur_lithographe;0;22616;22616;und;0;1804-08-02 00:00:00
node;imprimeur_lithographe;0;22617;22617;und;0;1818-06-12 00:00:00
node;imprimeur_lithographe;0;22618;22618;und;0;1759-11-04 00:00:00
node;imprimeur_lithographe;0;22619;22619;und;0;1763-01-15 00:00:00
node;imprimeur_lithographe;0;22620;22620;und;0;1813-09-24 00:00:00
node;imprimeur_lithographe;0;22621;22621;und;0;1796-05-02 00:00:00
node;imprimeur_lithographe;0;22622;22622;und;0;1812-09-03 00:00:00
node;imprimeur_lithographe;0;22623;22623;und;0;1824-05-20 00:00:00
node;imprimeur_lithographe;0;22624;22624;und;0;1806-05-16 00:00:00
node;imprimeur_lithographe;0;22625;22625;und;0;1831-10-14 00:00:00
node;imprimeur_lithographe;0;22626;22626;und;0;1829-01-26 00:00:00
node;imprimeur_lithographe;0;22627;22627;und;0;1795-02-17 00:00:00
node;imprimeur_lithographe;0;22628;22628;und;0;1843-01-20 00:00:00
node;imprimeur_lithographe;0;22629;22629;und;0;1828-12-28 00:00:00
node;imprimeur_lithographe;0;22630;22630;und;0;1811-11-23 00:00:00
node;imprimeur_lithographe;0;22631;22631;und;0;1815-04-23 00:00:00
node;imprimeur_lithographe;0;22632;22632;und;0;1771-10-18 00:00:00
node;imprimeur_lithographe;0;22633;22633;und;0;1816-02-22 00:00:00
node;imprimeur_lithographe;0;22634;22634;und;0;1792-09-28 00:00:00
node;imprimeur_lithographe;0;22635;22635;und;0;1825-11-07 00:00:00
node;imprimeur_lithographe;0;22636;22636;und;0;1831-10-23 00:00:00
node;imprimeur_lithographe;0;22637;22637;und;0;1823-01-31 00:00:00
node;imprimeur_lithographe;0;22638;22638;und;0;1810-06-30 00:00:00
node;imprimeur_lithographe;0;22639;22639;und;0;1811-06-19 00:00:00
node;imprimeur_lithographe;0;22640;22640;und;0;1807-04-09 00:00:00
node;imprimeur_lithographe;0;22641;22641;und;0;1805-03-26 00:00:00
node;imprimeur_lithographe;0;22642;22642;und;0;1818-01-23 00:00:00
node;imprimeur_lithographe;0;22643;22643;und;0;1835-08-08 00:00:00
node;imprimeur_lithographe;0;22644;22644;und;0;1818-10-28 00:00:00
node;imprimeur_lithographe;0;22645;22645;und;0;1793-05-10 00:00:00
node;imprimeur_lithographe;0;22646;22646;und;0;1837-10-26 00:00:00
node;imprimeur_lithographe;0;22648;22648;und;0;1799-02-19 00:00:00
node;imprimeur_lithographe;0;22649;22649;und;0;1831-10-08 00:00:00
node;imprimeur_lithographe;0;22650;22650;und;0;1826-09-19 00:00:00
node;imprimeur_lithographe;0;22651;22651;und;0;1803-10-14 00:00:00
node;imprimeur_lithographe;0;22652;22652;und;0;1830-11-12 00:00:00
node;imprimeur_lithographe;0;22653;22653;und;0;1837-04-19 00:00:00
