person_id	person_related_id	patent_id	type
1423	3708	1471	SUCCESSOR
1425	632	1473	SUCCESSOR
1436	2526	1484	SUCCESSOR
1444	139	1492	SUCCESSOR
1445	360	1494	SUCCESSOR
1450	2454	1499	SUCCESSOR
1453	3236	1502	SUCCESSOR
1458	1175	1508	SUCCESSOR
1456	2706	1505	SUCCESSOR
1481	4274	1532	SUCCESSOR
1491	3806	1542	SUCCESSOR
1496	3235	1547	SUCCESSOR
1527	1704	1579	SUCCESSOR
1528	3410	1580	SUCCESSOR
1530	1532	1582	SUCCESSOR
1550	3073	1602	SUCCESSOR
1556	1555	1608	SUCCESSOR
1558	1559	1610	SUCCESSOR
1559	3698	1611	SUCCESSOR
1561	2697	1613	SUCCESSOR
1564	446	1616	SUCCESSOR
1566	2212	1618	SUCCESSOR
1572	28	1624	SUCCESSOR
1579	343	1631	SUCCESSOR
1584	5108	1637	SUCCESSOR
1586	4939	1639	SUCCESSOR
1588	4569	1641	SUCCESSOR
3769	4876	3905	SUCCESSOR
1598	4972	1651	SUCCESSOR
1602	283	1655	SUCCESSOR
1603	1444	1656	SUCCESSOR
1606	2218	1659	SUCCESSOR
1607	1606	1660	SUCCESSOR
1611	882	1664	SUCCESSOR
1633	4228	1689	SUCCESSOR
1640	1639	1696	SUCCESSOR
1641	1640	1697	SUCCESSOR
1642	3844	1698	SUCCESSOR
1682	5035	1741	SUCCESSOR
1681	958	1740	SUCCESSOR
1672	4172	1730	SUCCESSOR
1694	4305	1753	SUCCESSOR
1696	2192	1755	SUCCESSOR
1701	2710	1760	SUCCESSOR
1703	2474	1762	SUCCESSOR
1704	2944	1763	SUCCESSOR
1706	229	1765	SUCCESSOR
1709	1710	1768	SUCCESSOR
1714	2472	1773	SUCCESSOR
1717	2933	1776	SUCCESSOR
1749	3324	1808	SUCCESSOR
1753	3650	1812	SUCCESSOR
1773	3341	1834	SUCCESSOR
1794	2342	1855	SUCCESSOR
1796	3215	1857	SUCCESSOR
1803	427	1864	SUCCESSOR
1804	2271	1865	SUCCESSOR
