ID	label	reference_url	filename	iiif_url	image_type	filesys_path
6764	Zoé chien-chien par A. Matthey... 10eme la livraison... : [affiche], 1881	http://gallica.bnf.fr/ark:/12148/btv1b9017163m/f1.item		https://gallica.bnf.fr/iiif/ark:/12148/btv1b9017163m/f1/full/1000,/0/native.jpg	iconographie	
6765	Les Frères Osmar : [affiche], 1874	http://gallica.bnf.fr/ark:/12148/btv1b90169936/f1.item		https://gallica.bnf.fr/iiif/ark:/12148/btv1b90169936/f1/full/1000,/0/native.jpg	iconographie	
6766	Editeur L. Curmer. Le Jardin des plantes par M. M. P. Bernard et L. Couailhac... 1841 [1ère édition] : [affiche]	http://gallica.bnf.fr/ark:/12148/btv1b90168377		https://gallica.bnf.fr/iiif/ark:/12148/btv1b90168377/f1/full/1000,/0/native.jpg	iconographie	
6767	En vente chez G. Vanier Les Vacances de Jaconas odyssée comique par Jean-Louis Toutant... : [affiche]	http://gallica.bnf.fr/ark:/12148/btv1b9016745f		https://gallica.bnf.fr/iiif/ark:/12148/btv1b9016745f/f1/full/1000,/0/native.jpg	iconographie	
6768	Pratiques secrètes de Mlle Lenormand, grand jeu de société 50 livr. à 40° : [affiche] , 1845	http://gallica.bnf.fr/ark:/12148/btv1b9016740c		https://gallica.bnf.fr/iiif/ark:/12148/btv1b9016740c/f1/full/1000,/0/native.jpg	iconographie	
6769	L'Atelier, organe spécial de la classe laborieuse... : [affiche], 1844	http://gallica.bnf.fr/ark:/12148/btv1b9016602b	deulin2.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b9016602b/f1/full/1000,/0/native.jpg	carrousel	public://deulin2.jpg
6770	Bénédictine de l'abbaye de Fécamp, Mucha ill., 1898.	http://gallica.bnf.fr/ark:/12148/btv1b90164477		https://gallica.bnf.fr/iiif/ark:/12148/btv1b90164477/f1/full/1000,/0/native.jpg	iconographie	
6771	Nouveau Théâtre 15 rue Blanche. Les Joyeuses commères de Paris de MM. Catulle Mendes et Georges Courteline, affiche, 1895	http://gallica.bnf.fr/ark:/12148/btv1b90163489	appel3.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b90163489/f1/full/1000,/0/native.jpg	carrousel	public://appel3.jpg
6772	Le dimanche 13 juin Grande fête Parc des Buttes-Chaumont	http://gallica.bnf.fr/ark:/12148/btv1b9016111k/		https://gallica.bnf.fr/iiif/ark:/12148/btv1b9016111k//f1/full/1000,/0/native.jpg	iconographie	
6773	Les Compagnons de Jéhu par Alexandre Dumas. Les Bons romans journal illustré, [26] passage Colbert : [affiche], 1865	http://gallica.bnf.fr/ark:/12148/btv1b90159022/f1.item		https://gallica.bnf.fr/iiif/ark:/12148/btv1b90159022/f1/full/1000,/0/native.jpg	iconographie	
6774	Saxoléine pétrole de sûreté.1896.	http://gallica.bnf.fr/ark:/12148/btv1b90177643/f1.item		https://gallica.bnf.fr/iiif/ark:/12148/btv1b90177643/f1/full/1000,/0/native.jpg	iconographie	
6775	Les Mille et un fantômes par Alexandre Dumas. Les Bons romans journal illustré : [affiche], 1865	http://gallica.bnf.fr/ark:/12148/btv1b9015901n/f1.item		https://gallica.bnf.fr/iiif/ark:/12148/btv1b9015901n/f1/full/1000,/0/native.jpg	iconographie	
6776	: Le Journal du Dimanche publie Le Petit Parisien ou le Bossu par Paul Féval : [affiche] , 1865	http://gallica.bnf.fr/ark:/12148/btv1b90159007/f1.item		https://gallica.bnf.fr/iiif/ark:/12148/btv1b90159007/f1/full/1000,/0/native.jpg	iconographie	
6777	Le Vicomte de Bragelonne (suite des Trois mousquetaires et de Vingt ans après) par Alexandre Dumas, publié par le journal, les Bons romans : [affiche], 1861	http://gallica.bnf.fr/ark:/12148/btv1b9015893j/f1.item		https://gallica.bnf.fr/iiif/ark:/12148/btv1b9015893j/f1/full/1000,/0/native.jpg	iconographie	
6778	[Le Vicomte de Bragelonne par Alexandre Dumas] : [estampe], 1861	http://gallica.bnf.fr/ark:/12148/btv1b90158924/f1.item		https://gallica.bnf.fr/iiif/ark:/12148/btv1b90158924/f1/full/1000,/0/native.jpg	iconographie	
6779	[Le Petit Parisien ou le Bossu par Paul Féval] : [estampe]	http://gallica.bnf.fr/ark:/12148/btv1b9015887t/f1.item		https://gallica.bnf.fr/iiif/ark:/12148/btv1b9015887t/f1/full/1000,/0/native.jpg	iconographie	
6780	Le Touquet Paris-Plage : [affiche] / [Henri Gray], 1900	http://gallica.bnf.fr/ark:/12148/btv1b9015873s/f1.item		https://gallica.bnf.fr/iiif/ark:/12148/btv1b9015873s/f1/full/1000,/0/native.jpg	iconographie	
6781	Paris-Trianon Revue... Trianon-Concert... : [affiche] / [Henri Gray], 1890	http://gallica.bnf.fr/ark:/12148/btv1b9015866n/f1.item		https://gallica.bnf.fr/iiif/ark:/12148/btv1b9015866n/f1/full/1000,/0/native.jpg	iconographie	
6782	Parfumerie  des châtelaines, Chalmin [1868]	http://gallica.bnf.fr/ark:/12148/btv1b90157276		https://gallica.bnf.fr/iiif/ark:/12148/btv1b90157276/f1/full/1000,/0/native.jpg	iconographie	
