nid;vid;type;language;title;uid;status;created;changed;comment;promote;sticky;tnid;translate;uuid
21905;21905;imprimeur_lithographe;und;BONNARD;0;1;1371916203;1536831691;1;0;0;0;0;0610c5fd-12cf-4109-a72f-50c78f54348b
21906;21906;imprimeur_lithographe;und;BONNE dit BEAUNE;0;1;1371916210;1536856350;1;0;0;0;0;91720a52-77a7-475a-97b2-43618950275e
21907;21907;imprimeur_lithographe;und;BONNET;0;1;1371916210;1536857634;1;0;0;0;0;78aa3ac9-ec59-4d84-8a12-77abcc1debce
21908;21908;imprimeur_lithographe;und;BONNEVILLE;0;1;1371916210;1536827593;1;0;0;0;0;c5ef55a4-2a2f-41be-b2e1-ecb8292e2976
21909;21909;imprimeur_lithographe;und;BONSERGENT;0;1;1371916210;1583690447;1;0;0;0;0;14cd8691-b9b2-4470-be41-e6200ef3009a
21910;21910;imprimeur_lithographe;und;BOREL;0;1;1371916210;1626729190;1;0;0;0;0;9c5cb611-efec-494f-80f0-bd73809ceea1
21911;21911;imprimeur_lithographe;und;BOSC;0;1;1371916210;1582540997;1;0;0;0;0;c78195ce-77ac-4598-88e7-a48ae3e0d357
21912;21912;imprimeur_lithographe;und;BOSC;0;1;1371916210;1536774227;1;0;0;0;0;07113ee1-b505-4afd-b8dc-238cfc719e22
21913;21913;imprimeur_lithographe;und;LEBEL, épouse BOUASSE;0;1;1371916210;1688643956;1;0;0;0;0;83758629-cef0-4305-8c4e-cdfec665c991
21914;21914;imprimeur_lithographe;und;BOUCHARD;0;1;1371916210;1543914782;1;0;0;0;0;63241c70-16dc-42db-972e-d8ceed5e1f96
21915;21915;imprimeur_lithographe;und;BOUCHARD;0;1;1371916210;1544090238;1;0;0;0;0;8beee305-83e6-4b6e-a093-a3073f4ebb30
21916;21916;imprimeur_lithographe;und;BOUCHER-LEMAISTRE;0;1;1371916210;1597599963;1;0;0;0;0;efd8313b-39cf-49d2-a80e-6c6e26978a3d
21917;21917;imprimeur_lithographe;und;BOUCHER;0;1;1371916210;1543917428;1;0;0;0;0;8d4d1540-331b-46f4-b2b5-4edfefb3598c
21918;21918;imprimeur_lithographe;und;BOUCHER;0;1;1371916210;1543942012;1;0;0;0;0;20b8e5b0-ac4c-4806-884d-955b7316ecf7
21919;21919;imprimeur_lithographe;und;LEMAISTRE, épouse BOUCHER;0;1;1371916210;1628408456;1;0;0;0;0;fa3f39cf-3ff3-42dc-b6d5-9cba57dffddf
21920;21920;imprimeur_lithographe;und;BOUCHER;0;1;1371916210;1543920159;1;0;0;0;0;d84b7dc4-e1ca-4912-9858-bdc644bcb746
21922;21922;imprimeur_lithographe;und;BOUILLARD;0;1;1371916210;1543837337;1;0;0;0;0;3c91bd3b-fd79-4978-8230-bb5e0e52ad96
21923;21923;imprimeur_lithographe;und;BOUIS;0;1;1371916210;1693138557;1;0;0;0;0;cca4865c-eab3-4200-babe-00e8d4a4ffb2
21924;21924;imprimeur_lithographe;und;BOUIS;0;1;1371916210;1544091354;1;0;0;0;0;b3d93d9e-477f-406e-93ae-b527c6237bb1
21925;21925;imprimeur_lithographe;und;BOUISSEREN;0;1;1371916210;1543943975;1;0;0;0;0;4a2cd51c-30aa-498b-81b3-cc7e12ccc28a
21926;21926;imprimeur_lithographe;und;BOULANGÉ;0;1;1371916210;1605884769;1;0;0;0;0;dff1c280-e41c-4bf0-9dba-a49824670b6b
21927;21927;imprimeur_lithographe;und;BOULARD, veuve LEDOYEN;0;1;1371916210;1543834661;1;0;0;0;0;e2b44748-0de0-43f1-b875-5b51ce7e9a14
21928;21928;imprimeur_lithographe;und;BOULLAND;0;1;1371916210;1669647560;1;0;0;0;0;018b6db1-f5ee-4009-a1c0-19e47704970d
21929;21929;imprimeur_lithographe;und;BOULLARD, veuve GUILLOIS;0;1;1371916210;1543833711;1;0;0;0;0;45648120-f7d1-42af-b654-f459ce30eef9
21930;21930;imprimeur_lithographe;und;BOULLEMIER;0;1;1371916210;1604167212;1;0;0;0;0;dc796090-b502-4f7d-bf01-8c745d40ca7b
21931;21931;imprimeur_lithographe;und;BOULLEMIER;0;1;1371916210;1543832672;1;0;0;0;0;f131b557-1527-49b0-9291-04ac753f6768
