entity_type;bundle;deleted;entity_id;revision_id;language;delta;field_date_de_fin_du_brevet_value
node;imprimeur_lithographe;0;21586;21586;und;0;1875-07-22 00:00:00
node;imprimeur_lithographe;0;21587;21587;und;0;1858-11-09 00:00:00
node;imprimeur_lithographe;0;21588;21588;und;0;1857-05-18 00:00:00
node;imprimeur_lithographe;0;21589;21589;und;0;1853-01-31 00:00:00
node;imprimeur_lithographe;0;21590;21590;und;0;1862-06-23 00:00:00
node;imprimeur_lithographe;0;21591;21591;und;0;1853-12-31 00:00:00
node;imprimeur_lithographe;0;21592;21592;und;0;1859-01-17 00:00:00
node;imprimeur_lithographe;0;21593;21593;und;0;1869-08-12 00:00:00
node;imprimeur_lithographe;0;21594;21594;und;0;1855-03-12 00:00:00
node;imprimeur_lithographe;0;21595;21595;und;0;1861-12-28 00:00:00
node;imprimeur_lithographe;0;21596;21596;und;0;1853-12-12 00:00:00
node;imprimeur_lithographe;0;21597;21597;und;0;1852-04-19 00:00:00
node;imprimeur_lithographe;0;21598;21598;und;0;1851-06-06 00:00:00
node;imprimeur_lithographe;0;21601;21601;und;0;1856-07-10 00:00:00
node;imprimeur_lithographe;0;21604;21604;und;0;1854-03-16 00:00:00
node;imprimeur_lithographe;0;21606;21606;und;0;1862-03-09 00:00:00
node;imprimeur_lithographe;0;21608;21608;und;0;1884-01-01 00:00:00
node;imprimeur_lithographe;0;21611;21611;und;0;1856-02-18 00:00:00
node;imprimeur_lithographe;0;21612;21612;und;0;1856-02-04 00:00:00
node;imprimeur_lithographe;0;21616;21616;und;0;1852-03-12 00:00:00
node;imprimeur_lithographe;0;21617;21617;und;0;1856-06-09 00:00:00
node;imprimeur_lithographe;0;21618;21618;und;0;1861-12-07 00:00:00
node;imprimeur_lithographe;0;21622;21622;und;0;1851-07-29 00:00:00
node;imprimeur_lithographe;0;21624;21624;und;0;1862-12-19 00:00:00
node;imprimeur_lithographe;0;21625;21625;und;0;1845-04-12 00:00:00
node;imprimeur_lithographe;0;21626;21626;und;0;1865-05-19 00:00:00
node;imprimeur_lithographe;0;21629;21629;und;0;1856-01-07 00:00:00
node;imprimeur_lithographe;0;21856;21856;und;0;1858-10-08 00:00:00
node;imprimeur_lithographe;0;21857;21857;und;0;1860-09-20 00:00:00
node;imprimeur_lithographe;0;21858;21858;und;0;1839-10-08 00:00:00
node;imprimeur_lithographe;0;21859;21859;und;0;1874-01-28 00:00:00
node;imprimeur_lithographe;0;21860;21860;und;0;1836-09-07 00:00:00
node;imprimeur_lithographe;0;21861;21861;und;0;1868-07-29 00:00:00
node;imprimeur_lithographe;0;21863;21863;und;0;1857-10-23 00:00:00
node;imprimeur_lithographe;0;21865;21865;und;0;1853-12-12 00:00:00
node;imprimeur_lithographe;0;21866;21866;und;0;1850-09-24 00:00:00
