entity_type;bundle;deleted;entity_id;revision_id;language;delta;field_illustration_fid;field_illustration_alt;field_illustration_title;field_illustration_width;field_illustration_height
node;imprimeur_lithographe;0;22983;22983;und;0;3544;"";Invention de 1831 [A. N. F/18/1816];2483;1550
node;imprimeur_lithographe;0;22986;22986;und;0;4187;"";Carte de visite  [Coll. privée];1366;929
node;imprimeur_lithographe;0;22988;22988;und;0;3548;"";En-tête de lettre. [A.N. F/18/1817];3159;975
node;imprimeur_lithographe;0;22997;22997;und;0;3547;"";Carte de visite [A. N. F/18/1817];2273;1458
node;imprimeur_lithographe;0;23006;23006;und;0;3937;"";En-tête de lettre, 1844. [A. N. F/18/1818];1788;502
node;imprimeur_lithographe;0;23010;23010;und;0;3932;"";"";1701;1041
node;imprimeur_lithographe;0;23046;23046;und;0;3943;"";En-tête de lettre, 1843. [A. N. F/18/1821];1121;1075
node;imprimeur_lithographe;0;23050;23050;und;0;1802;"";En-tête de lettre [A. N., F/18/1822];3238;1250
node;imprimeur_lithographe;0;23065;23065;und;0;2318;"";Source  gallica.bnf.fr / Bibliothèque nationale de France;409;501
node;imprimeur_lithographe;0;23087;23087;und;0;478;"";"";300;398
node;imprimeur_lithographe;0;23100;23100;und;0;3929;"";Papier à lettres [A. N.];734;672
node;imprimeur_lithographe;0;23108;23108;und;0;4161;"";Papier à en-tête, 1856 [A. N. F/18/1826];1436;1065
node;imprimeur_lithographe;0;23117;23117;und;0;3772;"";Papier à lettres, 1868. [A. N.];1306;2024
node;imprimeur_lithographe;0;23122;23122;und;0;3770;"";Papier à lettres, 1864. [A. N.];1251;843
node;imprimeur_lithographe;0;23132;23132;und;0;4098;"";En-tête de lettre [A. N., F/18/1829];1327;1639
node;imprimeur_lithographe;0;23148;23148;und;0;4105;"";En-tête de circulaire [A. N. F/18/1832];2660;885
node;imprimeur_lithographe;0;23153;23153;und;0;4119;"";Papier à en-tête, 1856 [A. N. F/18/1831];1316;1341
node;imprimeur_lithographe;0;23168;23168;und;0;3853;"";A. N., F/18/1727;1688;2113
node;imprimeur_lithographe;0;23192;23192;und;0;4232;"";Carte  [Coll. privée];1452;1047
node;imprimeur_lithographe;0;23198;23198;und;0;3073;"";A. N., F/18/1834;1407;2413
node;imprimeur_lithographe;0;23203;23203;und;0;3820;"";En-tête de lettre, 1850. [A. N. F/18/1834];1775;1681
node;imprimeur_lithographe;0;23204;23204;und;0;3835;"";En-tête de lettre. [A. N. F/18/1834];1660;1370
node;imprimeur_lithographe;0;23206;23206;und;0;3813;"";En-tête de lettre, 1865. A. N. F/18/1834;1823;2013
node;imprimeur_lithographe;0;23214;23214;und;0;2616;"";Système de navigation aérienne, [archives INPI];1993;1305
node;imprimeur_lithographe;0;23310;23310;und;0;631;"";Arch. nat.;1714;2198
node;imprimeur_lithographe;0;23438;23438;und;0;1759;"";L'ancienne Auvergne et le Velay;1024;1520
node;imprimeur_lithographe;0;23569;23569;und;0;1583;"";http://patrimoine-archives.grand-dole.fr/medias/customer_204/BIBLIOTHEQUE/FONDS%20PRIVES/1AP_Pasteur-Vallery-Radot/B_391986102_1AP_000000007_JPEG/B_391986102_1AP_000000007_003_JPEG/B_391986102_1AP_000000007_003_0175.jpg;1151;828
node;imprimeur_lithographe;0;23571;23571;und;0;846;"";Médiathèque du Grand Dole;3744;5016
node;imprimeur_lithographe;0;23662;23662;und;0;2055;"";En-tête Marc Aurel frères [A. N.];1783;1113
